confirmed,death,recovered,tx_letalidade_1,tx_letalidade_2,tx_letalidade_pais_1,tx_letalidade_pais_2
155128,2899.0,57281.0,1.514906817719247,3.1928093361666807,186.87793306172966,4.817215021601861
169462,2449.0,129215.0,1.514906817719247,3.1928093361666807,144.5161747176358,1.8600376716490459
203198,3460.0,89419.0,1.514906817719247,3.1928093361666807,170.2772665085286,3.725276973266293
15209,127.0,13416.0,1.514906817719247,3.1928093361666807,83.50318890130843,0.937753821162224
56583,757.0,27646.0,1.514906817719247,3.1928093361666807,133.7857660428044,2.665211421328733
3188,42.0,1206.0,1.514906817719247,3.1928093361666807,131.74404015056462,3.3653846153846154
5255261,77108.0,3288467.0,1.514906817719247,3.1928093361666807,146.72534817966226,2.2910795332149783
260675,4428.0,212752.0,1.514906817719247,3.1928093361666807,169.86669224129662,2.038861773643982
105123,910.0,23579.0,1.514906817719247,3.1928093361666807,86.56526164588149,3.715954101841643
741046,10592.0,627672.0,1.514906817719247,3.1928093361666807,142.93309727061478,1.6595013975408295
483128,4903.0,323617.0,1.514906817719247,3.1928093361666807,101.48449272242554,1.4924509923292342
20984,229.0,10642.0,1.514906817719247,3.1928093361666807,109.1307662981319,2.1065219391040384
274981,939.0,205962.0,1.514906817719247,3.1928093361666807,34.14781384895684,0.45384024243478766
1555051,12549.0,737408.0,1.514906817719247,3.1928093361666807,80.69831793298097,1.6732959356336432
8180,47.0,3922.0,1.514906817719247,3.1928093361666807,57.457212713936435,1.184177374653565
536097,2831.0,383380.0,1.514906817719247,3.1928093361666807,52.807607578479264,0.7330189973874385
1242821,24921.0,0.0,1.514906817719247,3.1928093361666807,200.51962430631605,100.0
20568,324.0,12378.0,1.514906817719247,3.1928093361666807,157.52625437572928,2.550779404818139
23890,101.0,7893.0,1.514906817719247,3.1928093361666807,42.27710339053998,1.2634475856892668
2601,1.0,1241.0,1.514906817719247,3.1928093361666807,3.844675124951942,0.08051529790660225
500090,14435.0,291325.0,1.514906817719247,3.1928093361666807,288.6480433521966,4.721023024594453
233775,9211.0,174236.0,1.514906817719247,3.1928093361666807,394.01133568602285,5.021068755553375
178050,831.0,50494.0,1.514906817719247,3.1928093361666807,46.672283066554336,1.619094008767657
21399546,461057.0,14496224.0,1.514906817719247,3.1928093361666807,215.45176706085257,3.0824920652356536
6950,3.0,228.0,1.514906817719247,3.1928093361666807,4.316546762589928,1.2987012987012987
500112,17657.0,380359.0,1.514906817719247,3.1928093361666807,353.0609143551845,4.436253818941952
14213,166.0,13248.0,1.514906817719247,3.1928093361666807,116.79448392316894,1.2375130460712689
462608,3216.0,132297.0,1.514906817719247,3.1928093361666807,69.51890153218275,2.373204046844214
17505,6.0,773.0,1.514906817719247,3.1928093361666807,3.4275921165381322,0.7702182284980745
37535,263.0,28320.0,1.514906817719247,3.1928093361666807,70.06793659251365,0.9201273484238883
111673,203.0,21315.0,1.514906817719247,3.1928093361666807,18.17807348239951,0.9433962264150944
92303,1275.0,35261.0,1.514906817719247,3.1928093361666807,138.13202171110365,3.4897087803809943
1628329,25451.0,1322602.0,1.514906817719247,3.1928093361666807,156.30133713764232,1.8879821490698068
11371,98.0,6665.0,1.514906817719247,3.1928093361666807,86.18415266907044,1.449061067573562
5037,173.0,4742.0,1.514906817719247,3.1928093361666807,343.4584077824101,3.519837232960325
1653406,29047.0,1295499.0,1.514906817719247,3.1928093361666807,175.6797785903765,2.1929778203248507
108413,4846.0,97737.0,1.514906817719247,3.1928093361666807,446.9943641445214,4.723979606757455
4955848,87747.0,3141549.0,1.514906817719247,3.1928093361666807,177.05748844597332,2.7172176226645064
4137,146.0,3719.0,1.514906817719247,3.1928093361666807,352.91273869954074,3.7774902975420437
14244,153.0,8208.0,1.514906817719247,3.1928093361666807,107.41364785172705,1.829924650161464
56862,782.0,27665.0,1.514906817719247,3.1928093361666807,137.5259399950758,2.748971772067353
530113,3962.0,242019.0,1.514906817719247,3.1928093361666807,74.73878210872022,1.6106935088482444
60138,303.0,46642.0,1.514906817719247,3.1928093361666807,50.38411653197645,0.645436148684631
403080,8002.0,345396.0,1.514906817719247,3.1928093361666807,198.5213853329364,2.2643025710388853
872425,943.0,132910.0,1.514906817719247,3.1928093361666807,10.808952058916239,0.7045041949003757
120020,360.0,39061.0,1.514906817719247,3.1928093361666807,29.995000833194467,0.9132188427487886
1690758,30101.0,1617498.0,1.514906817719247,3.1928093361666807,178.0325747386675,1.8269615361504832
360103,2517.0,264320.0,1.514906817719247,3.1928093361666807,69.89666845319256,0.9432724847003976
712,13.0,699.0,1.514906817719247,3.1928093361666807,182.58426966292134,1.8258426966292134
12705,153.0,11354.0,1.514906817719247,3.1928093361666807,120.4250295159386,1.3296254453810723
3293,0.0,182.0,1.514906817719247,3.1928093361666807,0.0,0.0
358455,3628.0,238810.0,1.514906817719247,3.1928093361666807,101.21214657348901,1.4964650756069593
509238,20485.0,366425.0,1.514906817719247,3.1928093361666807,402.26770193897545,5.294512935824869
303783,15001.0,191475.0,1.514906817719247,3.1928093361666807,493.80643419809536,7.265251167205874
104348,2241.0,68408.0,1.514906817719247,3.1928093361666807,214.76214206309658,3.172019419949327
12214,118.0,8146.0,1.514906817719247,3.1928093361666807,96.61044702800066,1.4278799612778317
6709,14.0,3812.0,1.514906817719247,3.1928093361666807,20.86749142942316,0.36591740721380034
155469,1250.0,122918.0,1.514906817719247,3.1928093361666807,80.40188076079477,1.0067005991881965
45904,672.0,17861.0,1.514906817719247,3.1928093361666807,146.392471244336,3.6259644957643125
